Setlist_ID,Album,Song,Special_Guest
8,reputation,...Ready for It?,FALSE
8,reputation,Delicate,FALSE
8,reputation,Don't Blame Me,FALSE
8,reputation,Look What You Made Me Do,FALSE
8,Speak Now,Enchanted,FALSE
8,Red,Red - Intro,FALSE
8,Red,22,FALSE
8,Red,We Are Never Ever Getting Back Together,FALSE
8,Red,I Knew You Were Trouble,FALSE
8,Red,Nothing New,Phoebe Bridgers
8,Red,All Too Well (10 Minute Version),FALSE
8,folklore,seven,FALSE
8,folklore,the 1,FALSE
8,folklore,betty,FALSE
8,folklore,the last great american dynasty,FALSE
8,folklore,august,FALSE
8,folklore,illicit affairs,FALSE
8,folklore,my tears ricochet,FALSE
8,folklore,cardigan,FALSE
8,1989,Style,FALSE
8,1989,Blank Space,FALSE
8,1989,Shake It Off,FALSE
8,1989,Wildest Dreams,FALSE
8,1989,Bad Blood,FALSE
8,Surprise Acoustic,Unknown,FALSE
8,Midnights,Lavender Haze,FALSE
8,Midnights,Anti-Hero,FALSE
8,Midnights,Midnight Rain,FALSE
8,Midnights,Vigilante Shit,FALSE
8,Midnights,Bejeweled,FALSE
8,Midnights,Mastermind,FALSE
8,Midnights,Karma,Ice Spice
